Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample12835_S50_L001_R1_001	57.93991416309013	52.0	236.92560801144492	250	45.45454545454545	0.000699
sample12835_S50_L001_R2_001	30.185979971387695	52.0	236.3540772532189	250	36.36363636363637	0.000699
sample12836_S51_L001_R1_001	89.79571273835613	55.0	196.04217990377592	250	45.45454545454545	0.039699
sample12836_S51_L001_R2_001	77.03468601224212	54.0	194.87330915136403	247	45.45454545454545	0.039699
sample12837_S52_L001_R1_001	94.07143915814436	55.0	249.29955112325055	250	45.45454545454545	0.047229
sample12837_S52_L001_R2_001	80.54585106608228	55.0	249.43134514810816	250	36.36363636363637	0.047229
sample12838_S53_L001_R1_001	90.34338504444833	54.0	230.70088896635872	250	45.45454545454545	0.011474
sample12838_S53_L001_R2_001	73.67090814014293	53.0	231.42465574341992	250	36.36363636363637	0.011474
sample12839_S54_L001_R1_001	92.94279150557517	55.0	233.6456407239312	250	45.45454545454545	0.035694
sample12839_S54_L001_R2_001	81.34420350759231	54.0	233.59294279150558	250	36.36363636363637	0.035694
sample12840_S55_L001_R1_001	95.48748536707731	54.0	111.89330973484215	37	72.72727272727273	0.107634
sample12840_S55_L001_R2_001	90.79565936414144	53.0	111.05104335061412	37	63.63636363636363	0.107634
sample12841_S56_L001_R1_001	95.83375791542325	54.0	233.39461387291652	250	45.45454545454545	0.06869499999999999
sample12841_S56_L001_R2_001	87.16646044108013	53.0	233.7708712424485	250	36.36363636363637	0.06869499999999999
sample12842_S57_L001_R1_001	94.42600276625173	55.0	203.54337828492393	250	45.45454545454545	0.08675999999999999
sample12842_S57_L001_R2_001	84.78792070078377	53.0	204.68808206546797	250	36.36363636363637	0.08675999999999999
sample12843_S58_L001_R1_001	94.68788392909379	54.0	211.74266268842996	250	45.45454545454545	0.051279
sample12843_S58_L001_R2_001	83.80818658710193	53.0	212.94881920474268	250	36.36363636363637	0.051279
sample12844_S59_L001_R1_001	95.42616084793686	55.0	218.92724193719098	250	45.45454545454545	0.066137
sample12844_S59_L001_R2_001	85.07945628014576	53.0	220.0058212498299	250	36.36363636363637	0.066137
sample12973_S188_L001_R1_001	73.55371900826447	50.0	217.76652892561984	250	45.45454545454545	0.000726
sample12973_S188_L001_R2_001	74.65564738292011	50.0	218.8030303030303	250	45.45454545454545	0.000726
sample12974_S189_L001_R1_001	81.14842903575298	51.0	246.0530877573131	250	36.36363636363637	0.000923
sample12974_S189_L001_R2_001	79.63163596966413	51.0	246.39490790899242	250	45.45454545454545	0.000923
sample12975_S190_L001_R1_001	88.2702301410542	50.0	249.56347438752783	250	45.45454545454545	0.0013469999999999999
sample12975_S190_L001_R2_001	87.82479584261321	50.0	247.29510022271714	247	36.36363636363637	0.0013469999999999999
sample13079_S41_L001_R1_001	91.2793204390218	56.0	240.66442894639306	247	36.36363636363637	0.132203
sample13079_S41_L001_R2_001	79.36355453355824	56.0	240.82522333078674	247	45.45454545454545	0.132203
sample13080_S42_L001_R1_001	91.79855417533048	56.0	236.5280707613743	247	36.36363636363637	0.185638
sample13080_S42_L001_R2_001	82.21700298430278	56.0	237.2793851474375	247	45.45454545454545	0.185638
sample13081_S43_L001_R1_001	90.82100826230487	56.0	244.96464274390584	247	36.36363636363637	0.107234
sample13081_S43_L001_R2_001	82.58667959788873	55.0	247.43951545218866	250	45.45454545454545	0.107234
sample13082_S44_L001_R1_001	91.01376181035413	56.0	246.03274132939586	247	36.36363636363637	0.12055099999999999
sample13082_S44_L001_R2_001	81.76954152184553	56.0	246.04739902613832	247	45.45454545454545	0.12055099999999999
sample13083_S45_L001_R1_001	92.03541646632138	56.0	246.6218660273935	247	36.36363636363637	0.145582
sample13083_S45_L001_R2_001	80.90079817559862	55.0	249.6987230564218	250	27.27272727272727	0.145582
sample13084_S46_L001_R1_001	91.19191046709904	56.0	246.09097746040493	247	36.36363636363637	0.134297
sample13084_S46_L001_R2_001	76.72174359814441	55.0	249.03248769518305	250	36.36363636363637	0.134297
sample13085_S47_L001_R1_001	91.77792932322178	56.0	245.07487531735532	247	36.36363636363637	0.121709
sample13085_S47_L001_R2_001	80.27754726437651	55.0	247.6356391063931	250	45.45454545454545	0.121709
sample13086_S48_L001_R1_001	91.01351853534061	56.0	246.66084331877153	247	36.36363636363637	0.12109299999999999
sample13086_S48_L001_R2_001	78.08461265308482	55.0	248.43008266373778	250	27.27272727272727	0.12109299999999999
sample13087_S49_L001_R1_001	92.94117647058823	57.0	249.72285998343	250	36.36363636363637	0.15087499999999998
sample13087_S49_L001_R2_001	83.46048053024026	56.0	250.41788566694282	250	27.27272727272727	0.15087499999999998
sample13088_S50_L001_R1_001	92.39771499150841	57.0	249.58157325922494	250	27.27272727272727	0.12954
sample13088_S50_L001_R2_001	81.43353404353867	56.0	250.36051026709896	250	36.36363636363637	0.12954
sample13225_S41_L001_R1_001	94.92226625440927	55.0	249.26103949832338	250	36.36363636363637	0.09185199999999999
sample13225_S41_L001_R2_001	92.25602055480556	54.0	249.2917737229456	250	36.36363636363637	0.09185199999999999
sample13226_S42_L001_R1_001	95.75348605883472	54.0	249.51216666769002	250	36.36363636363637	0.16286299999999998
sample13226_S42_L001_R2_001	92.95972688701546	53.0	248.8306153024321	250	36.36363636363637	0.16286299999999998
sample13227_S43_L001_R1_001	97.48226933257477	56.0	249.3443606593735	250	36.36363636363637	0.41481799999999996
sample13227_S43_L001_R2_001	95.74608623540927	56.0	248.81635440120726	250	36.36363636363637	0.41481799999999996
sample13228_S44_L001_R1_001	96.65083514352688	55.0	248.9956187180148	250	36.36363636363637	0.162966
sample13228_S44_L001_R2_001	94.39330903378618	54.0	249.60232809297645	250	36.36363636363637	0.162966
sample13229_S45_L001_R1_001	97.05184757303647	54.0	248.93117330952757	250	36.36363636363637	0.228516
sample13229_S45_L001_R2_001	95.2703530606172	54.0	249.77199189553465	250	36.36363636363637	0.228516
